Task,Dataset,Gamma_Target,method,T,mult,lmax,c,miscov,length,rolling_std,frac_inf
google,unknown,0.008,ACI,-,-,-,-,0.1010204081632653,5.91825979148193,0.0553210721790294,0.0
google,unknown,0.008,BCI(T=2),2,100x,2.92e+03,1.2664e-04,0.1397959183673469,3.557017265666234,0.0565048702071278,0.0
google,unknown,0.008,BCI(T=3),3,100x,2.92e+03,4.6416e-04,0.1301020408163265,3.8167034393829113,0.0542107627704247,0.0
google,unknown,0.008,BCI(T=5),5,100x,2.92e+03,8.8862e-04,0.1336734693877551,3.808759518981174,0.0577052628080004,0.0
google,unknown,0.008,BCI(T=7),7,100x,2.92e+03,1.7013e-03,0.1275510204081632,3.880355380958386,0.0547937311558427,0.0
google,unknown,0.1,ACI,-,-,-,-,0.1015306122448979,6.350965229755461,0.0361843139525813,0.0280612244897959
google,unknown,0.1,BCI(T=2),2,100x,2.92e+03,1.1938e-02,0.1035714285714285,4.7214637851814665,0.0379119464653811,0.0
google,unknown,0.1,BCI(T=3),3,100x,2.92e+03,2.2855e-02,0.1035714285714285,4.807090998112914,0.0369176158521833,0.0
google,unknown,0.1,BCI(T=5),5,100x,2.92e+03,8.3768e-02,0.1030612244897959,5.184786500795868,0.0343409391514889,0.0
google,unknown,0.1,BCI(T=7),7,100x,2.92e+03,8.3768e-02,0.1035714285714285,4.886469764667116,0.0389685974997681,0.0
rtfc,AMD,0.008,ACI,-,-,-,-,0.1013167520117044,0.1057259077443128,0.0555013752331208,0.0
rtfc,AMD,0.008,BCI(T=2),2,100x,3.4161e+01,1.7013e-03,0.1016825164594001,0.0984909082872068,0.0558467454586077,0.0
rtfc,AMD,0.008,BCI(T=3),3,100x,3.4161e+01,3.4551e-03,0.1013167520117044,0.0986049554013945,0.0540370223375196,0.0
rtfc,AMD,0.008,BCI(T=5),5,100x,3.4161e+01,7.0170e-03,0.1016825164594001,0.0989178796728805,0.053909557558968,0.0
rtfc,AMD,0.1,ACI,-,-,-,-,0.099487929773226,0.1128449492227921,0.0272674789552585,0.0336503291880029
